VoidID RA Dec Redshift Radius_Mpc AspectRatio Ellipticity Prolateness DensityContrast x_Mpc y_Mpc z_Mpc
0 134.834443 -39.030511 0.046639 7.819918 2.790348 0.472344 0.115377 -0.427884 -156.283682 157.189471 -179.692186
1 342.257150 4.807133 0.044577 6.496899 2.384165 0.409012 -0.890779 -0.291970 258.845271 -82.821413 22.855441
2 263.517819 48.235744 0.136876 18.988003 2.016290 0.336934 0.943691 -0.441612 -62.970993 -554.221711 624.635335
3 215.517054 27.674618 0.044936 8.454611 2.441253 0.418816 0.025230 -0.574553 -198.177661 -141.447772 127.691595
4 56.166711 37.815609 0.048073 9.266312 2.075255 0.349647 -0.418246 -0.383937 129.368435 193.005587 180.331922
5 56.158027 18.515835 0.116316 6.179837 1.981051 0.329096 -0.061186 -0.432361 375.802861 560.478988 225.994659
6 20.910100 22.616001 0.072964 5.610837 1.797146 0.284986 0.715716 -0.397825 384.940443 147.072221 171.667110
7 311.823412 44.298080 0.118739 46.873301 1.558160 0.218188 -0.390194 -0.891550 346.721105 -387.467693 507.362752
8 216.401404 -30.043938 0.019151 7.803569 2.102922 0.355446 -0.614647 -0.253222 -81.637732 -60.191615 -58.663554
9 254.906128 -1.211900 0.078260 38.648992 2.322113 0.397973 -0.741858 -0.632484 -124.655138 -462.189020 -10.126891
10 7.410418 -33.888680 0.014706 9.656721 2.220242 0.378929 -0.404281 -0.520544 74.065496 9.633123 -50.167725
11 349.167547 77.248363 0.018771 17.136602 2.092505 0.353275 0.560096 -0.654827 24.898090 -4.764182 112.015126
12 299.679351 62.637785 0.136901 16.296713 1.880593 0.305698 -0.056747 -0.551534 190.615565 -334.464689 743.880236
13 76.442080 -67.094254 0.029494 14.529522 2.502190 0.428929 -0.545037 -0.451845 16.465101 68.277941 -166.223388
14 65.456988 24.277118 0.084539 8.505566 1.732039 0.267946 -0.667630 -0.411035 195.844640 428.888332 212.658062
15 66.025624 58.265727 0.067553 15.212718 2.569303 0.439666 -0.334541 -0.376814 88.332022 198.635996 351.515382
16 109.527207 -39.706069 0.058628 7.128822 1.858005 0.300211 0.879849 -0.342296 -92.240387 260.086249 -229.154621
17 188.912315 7.810114 0.135977 12.903749 1.957917 0.323849 -0.313947 -0.382081 -814.266034 -127.689978 113.051933
18 155.500207 56.199189 0.013055 35.906883 1.672177 0.251547 0.976248 -0.676383 -40.434224 18.426761 66.374224
19 104.842490 -68.765842 0.102931 6.616840 2.058330 0.346048 -0.029539 -0.555098 -58.426473 220.473164 -586.996075
20 220.267042 23.256029 0.144875 17.222691 2.649016 0.451907 -0.641672 -0.541797 -621.388738 -526.361762 349.977774
21 50.217790 -23.910052 0.088424 12.137144 2.465143 0.422823 0.782280 -0.365362 316.459498 380.066381 -219.265993
22 105.172073 58.080565 0.141155 7.664096 2.650260 0.452094 -0.079289 -0.431793 -119.505291 440.701393 733.031794
23 131.890264 70.410086 0.017316 15.272736 2.467748 0.423257 0.419343 -0.452418 -23.717842 26.443005 99.811226
24 164.185194 62.689477 0.068631 37.825728 1.817423 0.290132 0.967423 -0.760132 -185.362785 52.504120 373.094555
25 282.663346 -2.956144 0.046422 13.829716 2.126576 0.360323 -0.899649 -0.591278 62.180658 -276.742711 -14.647370
26 71.882562 46.392809 0.112315 5.346665 1.946812 0.321300 -0.806611 -0.415801 147.380977 450.448359 497.567339
