void_id,ra_deg,dec_deg,redshift,radius_mpc,aspect_ratio,ellipticity,prolateness,central_density,x_mpc,y_mpc,z_mpc,survey,comoving_distance,gamma_z,c_g_effective,completeness,orientation_deg,Radius_deg,CentralDensity,ClusteringStrength
0,134.834443,-39.030511,0.100661,10.426558,2.790348,0.472344,0.115377,-0.427884,-337.307143,339.262108,-387.829728,SDSS,615.8626344924492,1.866556714250186e-29,0.7539187366570227,0.7594932957485527,15.93792506942727,,,
1,342.25715,4.807133,0.096684,8.662532,2.384165,0.409012,-0.890779,-0.29197,561.416194,-179.633502,49.571757,SDSS,591.5350344808808,1.8679667965699764e-29,0.7551242824931484,0.0,76.45959302727039,,,
2,263.517819,48.235744,0.274689,25.317337,2.01629,0.336934,0.943691,-0.441612,-126.373271,-1112.239257,1253.548764,SDSS,1680.6043175480297,1.806829531905515e-29,0.7066339645309957,0.36754951805560176,141.0412323977842,,,
3,215.517054,27.674618,0.097377,11.272815,2.441253,0.418816,0.02523,-0.574553,-429.451643,-306.517786,276.708106,SDSS,595.7761683181432,1.8677209390600868e-29,0.7549137533055688,0.7650014133830288,104.67023460297779,,,
4,56.166711,37.815609,0.103426,12.355083,2.075255,0.349647,-0.418246,-0.383937,278.329324,415.241279,387.97456,SDSS,632.7849489289757,1.865577568029188e-29,0.7530843363920822,0.7547461659197134,19.297510647699426,,,
5,56.158027,18.515835,0.235038,8.239782,1.981051,0.329096,-0.061186,-0.432361,759.379288,1132.551609,456.664068,SDSS,1438.0097778159177,1.8201003678602145e-29,0.7165613878962553,0.0,156.4192657425934,,,
6,20.9101,22.616001,0.15143,7.481116,1.797146,0.284986,0.715716,-0.397825,798.911452,305.236001,356.28062,SDSS,926.479575938296,1.8487351622464336e-29,0.7390671246915079,0.0,166.2572281364378,,,
7,311.823412,44.29808,0.239712,62.497734,1.55816,0.218188,-0.390194,-0.89155,699.962297,-782.221711,1024.266455,SDSS,1466.6082616771087,1.8185256681745878e-29,0.7153677517991992,0.448887108718214,118.41504181362069,,,
8,216.401404,-30.043938,0.047649,10.404759,2.102922,0.355446,-0.614647,-0.253222,-203.116905,-149.758382,-145.956523,SDSS,291.5259108248982,1.8855234753764625e-29,0.7705374537069115,0.8288252863105232,150.45002851361323,,,
9,254.906128,-1.2119,0.161644,51.531989,2.322113,0.397973,-0.741858,-0.632484,-257.472417,-954.641146,-20.916869,SDSS,988.9738513028433,1.845189516185044e-29,0.7361935741195902,0.6358206592768764,76.8400705492811,,,
10,7.410418,-33.88868,0.039076,12.875628,2.220242,0.378929,-0.404281,-0.520544,196.802524,25.596574,-133.302758,SDSS,239.0733011938276,1.8886259815891154e-29,0.773342358471096,0.8357006030685206,104.49889982785322,,,
11,349.167547,77.248363,0.046916,22.848802,2.092505,0.353275,0.560096,-0.654827,62.228967,-11.907344,279.964677,SDSS,287.0443337582816,1.8857883529913028e-29,0.7707759364530694,0.8294638763459047,102.84261779238099,,,
12,299.679351,62.637785,0.274738,21.728951,1.880593,0.305698,-0.056747,-0.551534,382.533856,-671.215212,1492.84438,SDSS,1680.906408668852,1.8068132554031788e-29,0.7066219683740083,0.3674395884981342,65.4339831293896,,,
13,76.44208,-67.094254,0.067596,19.372696,2.50219,0.428929,-0.545037,-0.451845,37.73533,156.481918,-380.956928,SDSS,413.56828551324486,1.8783431271946713e-29,0.7641413663672207,0.807923395990645,38.75130874840911,,,
14,65.456988,24.277118,0.173754,11.340755,1.732039,0.267946,-0.66763,-0.411035,402.521324,881.498208,437.078108,SDSS,1063.0615125545576,1.841002857955897e-29,0.7328334539196129,0.6077641340744135,128.5035819154029,,,
15,66.025624,58.265727,0.140996,20.283624,2.569303,0.439666,-0.334541,-0.376814,184.36449,414.588314,733.674522,SDSS,862.642474905016,1.8523708839863205e-29,0.7420408599579842,0.6815358693134392,54.45257900248753,,,
16,109.527207,-39.706069,0.123783,9.505096,1.858005,0.300211,0.879849,-0.342296,-194.749115,549.125701,-483.819087,SDSS,757.3289656665314,1.8583991284048653e-29,0.7470337980218145,0.0,130.49451612819954,,,
17,188.912315,7.810114,0.272955,17.204999,1.957917,0.323849,-0.313947,-0.382081,-1634.530325,-256.320578,226.936658,SDSS,1669.9969667023556,1.807405717159441e-29,0.7070589029143162,0.37144816494033406,135.7311182139297,,,
18,155.500207,56.199189,0.035892,47.875844,1.672177,0.251547,0.976248,-0.676383,-111.164101,50.659915,182.479848,SDSS,219.59685622760753,1.8897807964987463e-29,0.7743929094045221,0.8379199910788204,96.41698769014441,,,
19,104.84249,-68.765842,0.209223,8.822454,2.05833,0.346048,-0.029539,-0.555098,-118.761377,448.14782,-1193.165672,SDSS,1280.0722847077427,1.8288473636336305e-29,0.7232718862316079,0.0,29.99919746934043,,,
20,220.267042,23.256029,0.290116,22.963588,2.649016,0.451907,-0.641672,-0.541797,-1244.347536,-1054.05348,700.839836,SDSS,1774.9946492240163,1.8017201722225764e-29,0.7028890995857567,0.33363387195575045,108.97410138678882,,,
21,50.21779,-23.910052,0.181245,16.182859,2.465143,0.422823,0.78228,-0.365362,648.660159,779.037826,-449.438601,SDSS,1108.8980982405683,1.8384223792196366e-29,0.7307798167826866,0.5900687921582777,51.51336795260909,,,
22,105.172073,58.080565,0.282942,10.218794,2.65026,0.452094,-0.079289,-0.431793,-239.545457,883.375256,1469.344457,SDSS,1731.0999399800778,1.8040924065017636e-29,0.7046226350216203,0.349220716489016,132.67735402373236,,,
23,131.890264,70.410086,0.04411,20.363649,2.467748,0.423257,0.419343,-0.452418,-60.416894,67.358753,254.25097,SDSS,269.87211495866546,1.8868030042918639e-29,0.7716911770011584,0.8318212286922892,84.40971607771861,,,
24,164.185194,62.689477,0.143074,50.434304,1.817423,0.290132,0.967423,-0.760132,-386.423139,109.454585,777.784867,SDSS,875.3584682096491,1.851645699591806e-29,0.7414454895411875,0.6770803978877731,118.91103187084612,,,
25,282.663346,-2.956144,0.100243,18.439621,2.126576,0.360323,-0.899649,-0.591278,134.271226,-597.590703,-31.629133,SDSS,613.3056436214401,1.8667048233975425e-29,0.7540451444899627,0.7602023001543815,81.162424188844,,,
26,71.882562,46.392809,0.227322,7.128887,1.946812,0.3213,-0.806611,-0.415801,298.294153,911.692367,1007.059602,SDSS,1390.8024359126096,1.8227059823596575e-29,0.7185460235008118,0.0,11.87179895715172,,,
27,185.124398,43.558813,0.29495,10.961879,2.791121,0.472452,0.440913,-0.401309,-1302.485108,-116.802765,1243.525888,SDSS,1804.5683629609616,1.8001254037289876e-29,0.7017286820311271,0.32330899286218895,93.78056582679976,,,
28,213.269245,-21.210723,0.099263,10.446883,1.780176,0.280621,-0.43635,-0.49392,-473.376834,-310.586848,-219.725245,SDSS,607.3129344981454,1.8670521538929985e-29,0.7543417832871714,0.7618555577344511,17.21238820903603,,,
29,16.722149,41.134658,0.206627,11.134416,2.61637,0.446959,-0.631397,-0.457079,911.878774,273.961017,831.622621,SDSS,1264.1889578169582,1.8297316375122636e-29,0.7239580178256859,0.5289270131349225,64.779849272534,,,
30,218.716147,-67.817315,0.083486,29.551536,2.616073,0.446914,-0.921276,-0.665583,-150.474648,-120.622565,-472.981309,SDSS,510.78737410125615,1.8726610445806078e-29,0.7591713957089125,0.7866574401342934,65.82007127522297,,,
31,61.388685,11.101039,0.182639,16.69228,2.990739,0.49884,-0.956307,-0.363268,525.084101,962.619982,215.148818,SDSS,1117.4254144037784,1.8379429619989352e-29,0.7303997197329933,0.5867524252817448,123.74856437555381,,,
32,23.418573,-32.682436,0.155262,9.251458,2.095017,0.3538,0.548971,-0.448832,733.668578,317.769153,-512.942524,SDSS,949.924654838672,1.8474033834637856e-29,0.7379847527089552,0.0,113.1127583948618,,,
