VoidID RA Dec Redshift Radius_Mpc AspectRatio Ellipticity Prolateness DensityContrast x_Mpc y_Mpc z_Mpc
0 134.834443 -39.030511 0.100661 10.426558 2.790348 0.472344 0.115377 -0.427884 -337.307143 339.262108 -387.829728
1 342.257150 4.807133 0.096684 8.662532 2.384165 0.409012 -0.890779 -0.291970 561.416194 -179.633502 49.571757
2 263.517819 48.235744 0.274689 25.317337 2.016290 0.336934 0.943691 -0.441612 -126.373271 -1112.239257 1253.548764
3 215.517054 27.674618 0.097377 11.272815 2.441253 0.418816 0.025230 -0.574553 -429.451643 -306.517786 276.708106
4 56.166711 37.815609 0.103426 12.355083 2.075255 0.349647 -0.418246 -0.383937 278.329324 415.241279 387.974560
5 56.158027 18.515835 0.235038 8.239782 1.981051 0.329096 -0.061186 -0.432361 759.379288 1132.551609 456.664068
6 20.910100 22.616001 0.151430 7.481116 1.797146 0.284986 0.715716 -0.397825 798.911452 305.236001 356.280620
7 311.823412 44.298080 0.239712 62.497734 1.558160 0.218188 -0.390194 -0.891550 699.962297 -782.221711 1024.266455
8 216.401404 -30.043938 0.047649 10.404759 2.102922 0.355446 -0.614647 -0.253222 -203.116905 -149.758382 -145.956523
9 254.906128 -1.211900 0.161644 51.531989 2.322113 0.397973 -0.741858 -0.632484 -257.472417 -954.641146 -20.916869
10 7.410418 -33.888680 0.039076 12.875628 2.220242 0.378929 -0.404281 -0.520544 196.802524 25.596574 -133.302758
11 349.167547 77.248363 0.046916 22.848802 2.092505 0.353275 0.560096 -0.654827 62.228967 -11.907344 279.964677
12 299.679351 62.637785 0.274738 21.728951 1.880593 0.305698 -0.056747 -0.551534 382.533856 -671.215212 1492.844380
13 76.442080 -67.094254 0.067596 19.372696 2.502190 0.428929 -0.545037 -0.451845 37.735330 156.481918 -380.956928
14 65.456988 24.277118 0.173754 11.340755 1.732039 0.267946 -0.667630 -0.411035 402.521324 881.498208 437.078108
15 66.025624 58.265727 0.140996 20.283624 2.569303 0.439666 -0.334541 -0.376814 184.364490 414.588314 733.674522
16 109.527207 -39.706069 0.123783 9.505096 1.858005 0.300211 0.879849 -0.342296 -194.749115 549.125701 -483.819087
17 188.912315 7.810114 0.272955 17.204999 1.957917 0.323849 -0.313947 -0.382081 -1634.530325 -256.320578 226.936658
18 155.500207 56.199189 0.035892 47.875844 1.672177 0.251547 0.976248 -0.676383 -111.164101 50.659915 182.479848
19 104.842490 -68.765842 0.209223 8.822454 2.058330 0.346048 -0.029539 -0.555098 -118.761377 448.147820 -1193.165672
20 220.267042 23.256029 0.290116 22.963588 2.649016 0.451907 -0.641672 -0.541797 -1244.347536 -1054.053480 700.839836
21 50.217790 -23.910052 0.181245 16.182859 2.465143 0.422823 0.782280 -0.365362 648.660159 779.037826 -449.438601
22 105.172073 58.080565 0.282942 10.218794 2.650260 0.452094 -0.079289 -0.431793 -239.545457 883.375256 1469.344457
23 131.890264 70.410086 0.044110 20.363649 2.467748 0.423257 0.419343 -0.452418 -60.416894 67.358753 254.250970
24 164.185194 62.689477 0.143074 50.434304 1.817423 0.290132 0.967423 -0.760132 -386.423139 109.454585 777.784867
25 282.663346 -2.956144 0.100243 18.439621 2.126576 0.360323 -0.899649 -0.591278 134.271226 -597.590703 -31.629133
26 71.882562 46.392809 0.227322 7.128887 1.946812 0.321300 -0.806611 -0.415801 298.294153 911.692367 1007.059602
27 185.124398 43.558813 0.294950 10.961879 2.791121 0.472452 0.440913 -0.401309 -1302.485108 -116.802765 1243.525888
28 213.269245 -21.210723 0.099263 10.446883 1.780176 0.280621 -0.436350 -0.493920 -473.376834 -310.586848 -219.725245
29 16.722149 41.134658 0.206627 11.134416 2.616370 0.446959 -0.631397 -0.457079 911.878774 273.961017 831.622621
30 218.716147 -67.817315 0.083486 29.551536 2.616073 0.446914 -0.921276 -0.665583 -150.474648 -120.622565 -472.981309
31 61.388685 11.101039 0.182639 16.692280 2.990739 0.498840 -0.956307 -0.363268 525.084101 962.619982 215.148818
32 23.418573 -32.682436 0.155262 9.251458 2.095017 0.353800 0.548971 -0.448832 733.668578 317.769153 -512.942524
33 341.598793 -49.364349 0.292441 41.738084 2.543820 0.435637 -0.731133 -0.517760 1105.644181 -367.824726 -1357.777980
34 347.627532 -57.789296 0.194302 23.458415 3.171552 0.520562 -0.064559 -0.373063 618.945772 -135.772292 -1005.821964
35 291.023045 23.114978 0.124367 23.556463 2.011835 0.335953 0.211794 -0.534778 251.054417 -653.233672 298.713099
