VoidID RA Dec Redshift Radius_Mpc Radius_deg DensityContrast AspectRatio CentralDensity ClusteringStrength
0 313.863670 -11.890209 0.114592 19.228764 2.243758 -0.629789 2.445553 0.152515 0.781250
1 10.529022 -6.061443 0.107078 13.998050 1.748369 -0.450704 1.917241 0.152515 0.781250
2 297.294030 11.606478 0.085610 20.736480 3.237053 -0.509311 2.570625 0.152515 0.781250
3 46.393152 1.797025 0.148652 32.122770 2.888520 -0.527443 2.236162 0.152515 0.781250
4 120.642788 57.011929 0.110577 13.342755 1.613853 -0.688575 2.460036 0.152515 0.781250
5 267.662972 -0.347961 0.073723 13.342864 2.419856 -0.395131 1.937334 0.152515 0.781250
6 57.873563 79.839036 0.060178 33.037940 7.304851 -0.617228 1.792764 0.152515 0.781250
7 294.468129 44.656103 0.065286 22.015958 4.502181 -0.312537 2.504258 0.152515 0.781250
8 299.568304 -35.660342 0.074596 11.861680 2.126339 -0.519515 2.371814 0.152515 0.781250
9 182.688384 59.450508 0.066068 19.674635 3.977554 -0.824241 1.988276 0.152515 0.781250
10 2.298914 -50.109116 0.068657 11.897655 2.317083 -0.494293 1.997992 0.152515 0.781250
11 103.333728 39.412525 0.078510 11.883909 2.024213 -0.704938 2.596522 0.152515 0.781250
12 222.093691 -13.812977 0.067337 16.929054 3.359530 -0.488204 1.902068 0.152515 0.781250
13 353.227024 49.108329 0.139677 5.762723 0.551939 -0.858215 2.751693 0.152515 0.781250
14 227.452870 47.401379 0.058023 6.331843 1.459598 -0.795071 1.988705 0.152515 0.781250
15 93.529289 37.723449 0.102451 11.323797 1.478355 -0.386558 2.450409 0.152515 0.781250
16 228.242053 35.454824 0.091040 9.039778 1.328156 -0.763692 2.160306 0.152515 0.781250
17 194.394737 -22.994435 0.148238 17.552105 1.583651 -0.397775 2.439848 0.152515 0.781250
18 280.744342 -56.946478 0.061204 9.526126 2.081355 -0.732434 2.095657 0.152515 0.781250
19 38.513030 -11.188628 0.089786 7.403096 1.102943 -0.514271 2.210053 0.152515 0.781250
20 273.970045 -40.764464 0.146947 31.214246 2.839463 -0.483510 2.271167 0.152515 0.781250
21 194.855968 22.948413 0.136551 13.398758 1.312486 -0.592407 1.958235 0.152515 0.781250
22 346.677121 -17.926731 0.131707 15.515109 1.575563 -0.716814 2.481139 0.152515 0.781250
23 123.073980 72.030411 0.075790 7.357176 1.298444 -0.772413 2.104927 0.152515 0.781250
24 227.743882 16.376272 0.067089 11.425627 2.277202 -0.880086 2.190311 0.152515 0.781250
25 335.530118 40.162761 0.116864 15.855422 1.814473 -0.717632 1.960587 0.152515 0.781250
26 36.903502 -47.303047 0.142938 8.436381 0.789555 -0.508102 1.490191 0.152515 0.781250
27 337.402255 46.388129 0.105676 18.099770 2.290151 -0.337017 2.201583 0.152515 0.781250
28 247.638860 57.727089 0.107161 11.108725 1.386569 -0.377277 2.982676 0.152515 0.781250
29 24.421341 -1.482760 0.077998 12.964351 2.222541 -0.440361 2.494273 0.152515 0.781250
30 108.346884 12.269244 0.126949 11.102795 1.169881 -0.426932 2.253113 0.152515 0.781250
31 254.941952 31.979756 0.068704 37.871138 7.334033 -0.501009 2.180024 0.152515 0.781250
32 24.246217 -40.565940 0.082368 14.899112 2.418489 -0.743828 2.265631 0.152515 0.781250
33 209.581366 0.294052 0.092544 8.839186 1.277596 -0.355683 2.423027 0.152515 0.781250
34 124.517901 -11.693368 0.100761 22.631045 3.002025 -0.497561 1.904648 0.152515 0.781250
35 223.529586 -45.011769 0.074241 8.146826 1.467742 -0.563736 2.593188 0.152515 0.781250
36 16.467132 -15.362862 0.061484 16.651195 3.618325 -0.833406 2.473506 0.152515 0.781250
37 313.753250 -59.729520 0.111062 5.630595 0.678217 -0.631767 2.474347 0.152515 0.781250
38 350.456029 -71.509488 0.078863 7.721103 1.309574 -0.623785 2.390434 0.152515 0.781250
39 348.796028 -46.858520 0.108124 16.551568 2.047071 -0.381262 2.264776 0.152515 0.781250
40 269.874659 67.854599 0.065436 21.699376 4.427545 -0.572011 2.460750 0.152515 0.781250
41 46.831046 5.684990 0.098114 16.341932 2.227171 -0.671760 2.436436 0.152515 0.781250
42 272.974751 68.692603 0.103259 14.157239 1.833591 -0.313920 2.152679 0.152515 0.781250
43 8.851290 -7.758865 0.055182 12.903497 3.125188 -0.833568 2.086811 0.152515 0.781250
44 7.964479 -22.108872 0.083660 7.162000 1.145134 -0.646471 2.289448 0.152515 0.781250
45 116.499679 0.703823 0.063441 10.465960 2.205927 -0.874785 2.723597 0.152515 0.781250
46 175.911549 -6.948470 0.056337 11.914198 2.826927 -0.456058 1.887159 0.152515 0.781250
47 277.346670 -52.061453 0.148996 25.447342 2.283693 -0.349154 1.818634 0.152515 0.781250
48 245.986336 16.358864 0.082235 17.811768 2.895199 -0.731978 2.308320 0.152515 0.781250
49 160.524974 -34.605561 0.130987 6.212293 0.634460 -0.384995 2.274158 0.152515 0.781250
50 98.505600 13.837907 0.075464 17.638644 3.123880 -0.724669 2.310894 0.152515 0.781250
