ID,RA,DEC,Z,Radius_Mpc,Density_Fraction,Effective_Radius_deg,Catalog_Source
60,,,,32.298,,1.033536,SDSS_DR12
10020,,,,15.964,,0.510848,SDSS_DR12
11496,,,,52.473,,1.679136,SDSS_DR12
15935,,,,38.683,,1.237856,SDSS_DR12
4407,,,,63.467,,2.030944,SDSS_DR12
20571,,,,56.705,,1.81456,SDSS_DR12
13976,,,,29.199,,0.9343680000000001,SDSS_DR12
2571,,,,64.052,,2.0496640000000004,SDSS_DR12
4535,,,,63.679,,2.037728,SDSS_DR12
1267,,,,40.98,,1.3113599999999999,SDSS_DR12
12454,,,,90.295,,2.88944,SDSS_DR12
11862,,,,80.243,,2.567776,SDSS_DR12
5455,,,,89.801,,2.873632,SDSS_DR12
1005,,,,54.079,,1.730528,SDSS_DR12
6886,,,,84.756,,2.712192,SDSS_DR12
4669,,,,39.445,,1.26224,SDSS_DR12
6677,,,,27.477,,0.879264,SDSS_DR12
2619,,,,46.066,,1.474112,SDSS_DR12
21634,,,,73.064,,2.3380479999999997,SDSS_DR12
9173,,,,50.79,,1.62528,SDSS_DR12
18077,,,,85.851,,2.747232,SDSS_DR12
13556,,,,51.289,,1.641248,SDSS_DR12
17290,,,,73.406,,2.3489920000000004,SDSS_DR12
11581,,,,33.12,,1.05984,SDSS_DR12
4859,,,,63.044,,2.017408,SDSS_DR12
21371,,,,58.772,,1.880704,SDSS_DR12
17711,,,,54.131,,1.732192,SDSS_DR12
22524,,,,70.178,,2.245696,SDSS_DR12
15117,,,,44.445,,1.42224,SDSS_DR12
12812,,,,55.864,,1.787648,SDSS_DR12
6729,,,,62.158,,1.9890560000000002,SDSS_DR12
2591,,,,63.848,,2.043136,SDSS_DR12
10024,,,,21.347,,0.683104,SDSS_DR12
4395,,,,91.328,,2.922496,SDSS_DR12
13669,,,,60.554,,1.9377280000000001,SDSS_DR12
19796,,,,41.471,,1.3270719999999998,SDSS_DR12
19847,,,,65.068,,2.082176,SDSS_DR12
19861,,,,82.37,,2.6358400000000004,SDSS_DR12
22129,,,,69.996,,2.239872,SDSS_DR12
18298,,,,71.203,,2.278496,SDSS_DR12
21068,,,,59.081,,1.890592,SDSS_DR12
17611,,,,69.175,,2.2136,SDSS_DR12
17222,,,,70.332,,2.2506239999999997,SDSS_DR12
3576,,,,62.732,,2.007424,SDSS_DR12
21921,,,,60.777,,1.9448640000000001,SDSS_DR12
22520,,,,58.571,,1.874272,SDSS_DR12
8794,,,,59.922,,1.9175039999999999,SDSS_DR12
3296,,,,60.75,,1.944,SDSS_DR12
10593,,,,46.27,,1.4806400000000002,SDSS_DR12
5278,,,,39.829,,1.274528,SDSS_DR12
900,,,,20.556,,0.657792,SDSS_DR12
825,,,,61.25,,1.96,SDSS_DR12
4866,,,,33.803,,1.081696,SDSS_DR12
17574,,,,26.026,,0.832832,SDSS_DR12
19336,,,,30.808,,0.9858560000000001,SDSS_DR12
15558,,,,60.952,,1.950464,SDSS_DR12
17812,,,,70.2,,2.2464,SDSS_DR12
7221,,,,39.906,,1.276992,SDSS_DR12
12374,,,,59.983,,1.919456,SDSS_DR12
16030,,,,57.14,,1.82848,SDSS_DR12
4403,,,,51.274,,1.640768,SDSS_DR12
9778,,,,65.572,,2.098304,SDSS_DR12
2211,,,,20.269,,0.648608,SDSS_DR12
4457,,,,61.399,,1.964768,SDSS_DR12
20012,,,,70.088,,2.242816,SDSS_DR12
21786,,,,34.858,,1.115456,SDSS_DR12
14752,,,,43.625,,1.3960000000000001,SDSS_DR12
12573,,,,55.642,,1.7805440000000001,SDSS_DR12
2596,,,,56.514,,1.808448,SDSS_DR12
17603,,,,74.358,,2.3794560000000002,SDSS_DR12
15033,,,,58.728,,1.879296,SDSS_DR12
14779,,,,55.452,,1.774464,SDSS_DR12
4637,,,,55.805,,1.78576,SDSS_DR12
13023,,,,66.314,,2.122048,SDSS_DR12
2629,,,,39.254,,1.256128,SDSS_DR12
17502,,,,42.851,,1.371232,SDSS_DR12
8793,,,,63.756,,2.0401920000000002,SDSS_DR12
9009,,,,65.887,,2.108384,SDSS_DR12
16640,,,,35.594,,1.139008,SDSS_DR12
17126,,,,41.736,,1.3355519999999999,SDSS_DR12
6592,,,,90.445,,2.89424,SDSS_DR12
183,,,,44.222,,1.4151040000000001,SDSS_DR12
11120,,,,62.812,,2.0099839999999998,SDSS_DR12
11874,,,,43.094,,1.379008,SDSS_DR12
15443,,,,60.907,,1.9490239999999999,SDSS_DR12
22068,,,,67.133,,2.148256,SDSS_DR12
8549,,,,33.558,,1.073856,SDSS_DR12
15007,,,,73.483,,2.351456,SDSS_DR12
19657,,,,57.652,,1.844864,SDSS_DR12
14029,,,,63.583,,2.034656,SDSS_DR12
14952,,,,63.855,,2.04336,SDSS_DR12
12141,,,,37.879,,1.2121279999999999,SDSS_DR12
19858,,,,59.747,,1.911904,SDSS_DR12
12888,,,,46.818,,1.498176,SDSS_DR12
9889,,,,46.611,,1.491552,SDSS_DR12
1303,,,,68.053,,2.177696,SDSS_DR12
1047,,,,31.65,,1.0128,SDSS_DR12
4726,,,,36.362,,1.1635840000000002,SDSS_DR12
22164,,,,75.776,,2.424832,SDSS_DR12
8608,,,,48.369,,1.547808,SDSS_DR12
11043,,,,80.25,,2.568,SDSS_DR12
7585,,,,67.013,,2.144416,SDSS_DR12
20037,,,,31.885,,1.0203200000000001,SDSS_DR12
11474,,,,55.827,,1.786464,SDSS_DR12
17643,,,,56.555,,1.80976,SDSS_DR12
276,,,,55.279,,1.768928,SDSS_DR12
16215,,,,49.788,,1.593216,SDSS_DR12
148,,,,74.792,,2.393344,SDSS_DR12
1364,,,,73.25,,2.344,SDSS_DR12
16381,,,,19.696,,0.630272,SDSS_DR12
17291,,,,52.127,,1.6680640000000002,SDSS_DR12
18352,,,,70.718,,2.262976,SDSS_DR12
6272,,,,84.092,,2.690944,SDSS_DR12
19141,,,,36.586,,1.170752,SDSS_DR12
16374,,,,21.293,,0.681376,SDSS_DR12
9662,,,,60.32,,1.93024,SDSS_DR12
15329,,,,80.181,,2.565792,SDSS_DR12
12335,,,,61.61,,1.97152,SDSS_DR12
16079,,,,39.061,,1.249952,SDSS_DR12
21913,,,,78.48,,2.5113600000000003,SDSS_DR12
5989,,,,37.154,,1.1889280000000002,SDSS_DR12
22124,,,,68.394,,2.1886080000000003,SDSS_DR12
11881,,,,80.672,,2.581504,SDSS_DR12
19612,,,,87.078,,2.786496,SDSS_DR12
21507,,,,104.931,,3.357792,SDSS_DR12
14622,,,,36.965,,1.1828800000000002,SDSS_DR12
14901,,,,91.289,,2.9212480000000003,SDSS_DR12
19724,,,,92.325,,2.9544,SDSS_DR12
12909,,,,46.648,,1.492736,SDSS_DR12
19870,,,,68.091,,2.178912,SDSS_DR12
4687,,,,44.12,,1.41184,SDSS_DR12
15591,,,,60.362,,1.9315840000000002,SDSS_DR12
21215,,,,55.923,,1.789536,SDSS_DR12
881,,,,62.119,,1.987808,SDSS_DR12
20222,,,,51.93,,1.6617600000000001,SDSS_DR12
899,,,,59.246,,1.895872,SDSS_DR12
19635,,,,33.293,,1.065376,SDSS_DR12
4738,,,,65.242,,2.0877440000000003,SDSS_DR12
9956,,,,22.317,,0.714144,SDSS_DR12
18662,,,,73.631,,2.356192,SDSS_DR12
141,,,,61.465,,1.9668800000000002,SDSS_DR12
18756,,,,77.773,,2.488736,SDSS_DR12
