VoidID RA Dec Redshift Radius_Mpc Radius_deg DensityContrast AspectRatio CentralDensity ClusteringStrength
0 313.863670 -11.890209 0.136265 10.255341 1.006748 -0.629789 2.445553 0.152515 0.781250
1 10.529022 -6.061443 0.122740 7.465627 0.813674 -0.450704 1.917241 0.152515 0.781250
2 297.294030 11.606478 0.084097 11.059456 1.758793 -0.509311 2.570625 0.152515 0.781250
3 46.393152 1.797025 0.197573 17.132144 1.159913 -0.527443 2.236162 0.152515 0.781250
4 120.642788 57.011929 0.129039 7.116136 0.737730 -0.688575 2.460036 0.152515 0.781250
5 267.662972 -0.347961 0.062701 7.116194 1.518004 -0.395131 1.937334 0.152515 0.781250
6 57.873563 79.839036 0.038321 17.620235 6.127964 -0.617228 1.792764 0.152515 0.781250
7 294.468129 44.656103 0.047515 11.741844 3.302384 -0.312537 2.504258 0.152515 0.781250
8 299.568304 -35.660342 0.064272 6.326229 1.316570 -0.519515 2.371814 0.152515 0.781250
9 182.688384 59.450508 0.048923 10.493138 2.867033 -0.824241 1.988276 0.152515 0.781250
10 2.298914 -50.109116 0.053582 6.345416 1.583908 -0.494293 1.997992 0.152515 0.781250
11 103.333728 39.412525 0.071317 6.338085 1.188781 -0.704938 2.596522 0.152515 0.781250
12 222.093691 -13.812977 0.051207 9.028829 2.357517 -0.488204 1.902068 0.152515 0.781250
13 353.227024 49.108329 0.181418 3.073452 0.226644 -0.858215 2.751693 0.152515 0.781250
14 227.452870 47.401379 0.034442 3.376983 1.311486 -0.795071 1.988705 0.152515 0.781250
15 93.529289 37.723449 0.114412 6.039358 0.706150 -0.386558 2.450409 0.152515 0.781250
16 228.242053 35.454824 0.093871 4.821215 0.687072 -0.763692 2.160306 0.152515 0.781250
17 194.394737 -22.994435 0.196828 9.361122 0.636243 -0.397775 2.439848 0.152515 0.781250
18 280.744342 -56.946478 0.040167 5.080601 1.691685 -0.732434 2.095657 0.152515 0.781250
19 38.513030 -11.188628 0.091614 3.948318 0.576548 -0.514271 2.210053 0.152515 0.781250
20 273.970045 -40.764464 0.194505 16.647598 1.144890 -0.483510 2.271167 0.152515 0.781250
21 194.855968 22.948413 0.175791 7.146005 0.543817 -0.592407 1.958235 0.152515 0.781250
22 346.677121 -17.926731 0.167073 8.274725 0.662564 -0.716814 2.481139 0.152515 0.781250
23 123.073980 72.030411 0.066423 3.923827 0.790255 -0.772413 2.104927 0.152515 0.781250
24 227.743882 16.376272 0.050760 6.093668 1.605630 -0.880086 2.190311 0.152515 0.781250
25 335.530118 40.162761 0.140356 8.456225 0.805968 -0.717632 1.960587 0.152515 0.781250
26 36.903502 -47.303047 0.187288 4.499403 0.321396 -0.508102 1.490191 0.152515 0.781250
27 337.402255 46.388129 0.120217 9.653210 1.074123 -0.337017 2.201583 0.152515 0.781250
28 247.638860 57.727089 0.122890 5.924653 0.644951 -0.377277 2.982676 0.152515 0.781250
29 24.421341 -1.482760 0.070396 6.914320 1.313784 -0.440361 2.494273 0.152515 0.781250
30 108.346884 12.269244 0.158509 5.921491 0.499766 -0.426932 2.253113 0.152515 0.781250
31 254.941952 31.979756 0.053668 20.197940 5.022020 -0.501009 2.180024 0.152515 0.781250
32 24.246217 -40.565940 0.078262 7.946193 1.358080 -0.743828 2.265631 0.152515 0.781250
33 209.581366 0.294052 0.096579 4.714232 0.652997 -0.355683 2.423027 0.152515 0.781250
34 124.517901 -11.693368 0.111370 12.069891 1.449582 -0.497561 1.904648 0.152515 0.781250
